,Year,From,To,Score
844,2013,Slovenia,Armenia,0
845,2013,Slovenia,Netherlands,7
846,2013,Slovenia,Romania,0
847,2013,Slovenia,United Kingdom,1
848,2013,Slovenia,Sweden,6
849,2013,Slovenia,Hungary,0
850,2013,Slovenia,Denmark,12
851,2013,Slovenia,Iceland,4
852,2013,Slovenia,Azerbaijan,3
853,2013,Slovenia,Greece,0
854,2013,Slovenia,Ukraine,0
855,2013,Slovenia,Italy,8
856,2013,Slovenia,Norway,5
857,2013,Slovenia,Georgia,0
858,2013,Slovenia,Ireland,0
859,2013,Georgia,France,0
860,2013,Georgia,Lithuania,1
861,2013,Georgia,Moldova,0
862,2013,Georgia,Finland,0
863,2013,Georgia,Spain,0
864,2013,Georgia,Belgium,0
865,2013,Georgia,Estonia,0
866,2013,Georgia,Belarus,5
867,2013,Georgia,Malta,3
868,2013,Georgia,Russia,6
869,2013,Georgia,Germany,0
870,2013,Georgia,Armenia,10
871,2013,Georgia,Netherlands,0
872,2013,Georgia,Romania,0
873,2013,Georgia,United Kingdom,0
874,2013,Georgia,Sweden,0
875,2013,Georgia,Hungary,0
876,2013,Georgia,Denmark,7
877,2013,Georgia,Iceland,0
878,2013,Georgia,Azerbaijan,12
879,2013,Georgia,Greece,0
880,2013,Georgia,Ukraine,8
881,2013,Georgia,Italy,2
882,2013,Georgia,Norway,4
884,2013,Georgia,Ireland,0
885,2013,Macedonia,France,1
886,2013,Macedonia,Lithuania,0
887,2013,Macedonia,Moldova,7
888,2013,Macedonia,Finland,0
889,2013,Macedonia,Spain,0
890,2013,Macedonia,Belgium,0
891,2013,Macedonia,Estonia,0
892,2013,Macedonia,Belarus,5
893,2013,Macedonia,Malta,3
894,2013,Macedonia,Russia,6
895,2013,Macedonia,Germany,0
896,2013,Macedonia,Armenia,0
897,2013,Macedonia,Netherlands,2
898,2013,Macedonia,Romania,0
899,2013,Macedonia,United Kingdom,0
900,2013,Macedonia,Sweden,0
901,2013,Macedonia,Hungary,0
902,2013,Macedonia,Denmark,12
903,2013,Macedonia,Iceland,0
904,2013,Macedonia,Azerbaijan,0
905,2013,Macedonia,Greece,4
906,2013,Macedonia,Ukraine,0
907,2013,Macedonia,Italy,10
908,2013,Macedonia,Norway,8
909,2013,Macedonia,Georgia,0
910,2013,Macedonia,Ireland,0
911,2013,Cyprus,France,1
912,2013,Cyprus,Lithuania,0
913,2013,Cyprus,Moldova,0
914,2013,Cyprus,Finland,0
915,2013,Cyprus,Spain,0
916,2013,Cyprus,Belgium,0
917,2013,Cyprus,Estonia,0
918,2013,Cyprus,Belarus,0
919,2013,Cyprus,Malta,3
920,2013,Cyprus,Russia,5
921,2013,Cyprus,Germany,0
922,2013,Cyprus,Armenia,0
923,2013,Cyprus,Netherlands,0
924,2013,Cyprus,Romania,0
925,2013,Cyprus,United Kingdom,0
926,2013,Cyprus,Sweden,0
927,2013,Cyprus,Hungary,0
928,2013,Cyprus,Denmark,7
929,2013,Cyprus,Iceland,0
930,2013,Cyprus,Azerbaijan,8
931,2013,Cyprus,Greece,12
932,2013,Cyprus,Ukraine,10
933,2013,Cyprus,Italy,6
934,2013,Cyprus,Norway,4
935,2013,Cyprus,Georgia,0
936,2013,Cyprus,Ireland,2
937,2013,Croatia,France,0
938,2013,Croatia,Lithuania,0
939,2013,Croatia,Moldova,0
940,2013,Croatia,Finland,0
941,2013,Croatia,Spain,0
942,2013,Croatia,Belgium,0
943,2013,Croatia,Estonia,0
944,2013,Croatia,Belarus,0
945,2013,Croatia,Malta,0
946,2013,Croatia,Russia,6
947,2013,Croatia,Germany,0
948,2013,Croatia,Armenia,0
949,2013,Croatia,Netherlands,2
950,2013,Croatia,Romania,0
951,2013,Croatia,United Kingdom,0
952,2013,Croatia,Sweden,1
953,2013,Croatia,Hungary,4
954,2013,Croatia,Denmark,10
955,2013,Croatia,Iceland,0
956,2013,Croatia,Azerbaijan,7
957,2013,Croatia,Greece,5
958,2013,Croatia,Ukraine,12
959,2013,Croatia,Italy,8
960,2013,Croatia,Norway,3
961,2013,Croatia,Georgia,0
962,2013,Croatia,Ireland,0
963,2013,Switzerland,France,0
964,2013,Switzerland,Lithuania,0
965,2013,Switzerland,Moldova,0
966,2013,Switzerland,Finland,0
967,2013,Switzerland,Spain,0
968,2013,Switzerland,Belgium,0
969,2013,Switzerland,Estonia,0
970,2013,Switzerland,Belarus,0
971,2013,Switzerland,Malta,0
972,2013,Switzerland,Russia,0
973,2013,Switzerland,Germany,1
974,2013,Switzerland,Armenia,0
975,2013,Switzerland,Netherlands,4
976,2013,Switzerland,Romania,0
977,2013,Switzerland,United Kingdom,2
978,2013,Switzerland,Sweden,0
979,2013,Switzerland,Hungary,10
980,2013,Switzerland,Denmark,3
981,2013,Switzerland,Iceland,5
982,2013,Switzerland,Azerbaijan,6
983,2013,Switzerland,Greece,8
984,2013,Switzerland,Ukraine,0
985,2013,Switzerland,Italy,12
986,2013,Switzerland,Norway,7
987,2013,Switzerland,Georgia,0
988,2013,Switzerland,Ireland,0
989,2013,Lithuania,France,0
991,2013,Lithuania,Moldova,0
992,2013,Lithuania,Finland,0
993,2013,Lithuania,Spain,0
994,2013,Lithuania,Belgium,0
995,2013,Lithuania,Estonia,3
996,2013,Lithuania,Belarus,1
997,2013,Lithuania,Malta,0
998,2013,Lithuania,Russia,7
999,2013,Lithuania,Germany,0
1000,2013,Lithuania,Armenia,0
1001,2013,Lithuania,Netherlands,4
1002,2013,Lithuania,Romania,0
1003,2013,Lithuania,United Kingdom,0
1004,2013,Lithuania,Sweden,0
1005,2013,Lithuania,Hungary,5
1006,2013,Lithuania,Denmark,2
1007,2013,Lithuania,Iceland,0
1008,2013,Lithuania,Azerbaijan,12
1009,2013,Lithuania,Greece,0
1010,2013,Lithuania,Ukraine,10
1011,2013,Lithuania,Italy,0
1012,2013,Lithuania,Norway,6
1013,2013,Lithuania,Georgia,8
1014,2013,Lithuania,Ireland,0
