Year,From,To,Score
1998,Ireland,Israel,6
1998,Ireland,Germany,8
1998,Ireland,Malta,12
1998,Ireland,Hungary,0
1998,Ireland,Slovenia,0
1998,Ireland,Portugal,0
1998,Ireland,Romania,0
1998,Ireland,United Kingdom,5
1998,Ireland,Cyprus,0
1998,Ireland,Netherlands,10
1998,Ireland,Sweden,2
1998,Ireland,Belgium,7
1998,Ireland,Finland,0
1998,Ireland,Norway,4
1998,Ireland,Estonia,1
1998,Ireland,Turkey,0
1998,Ireland,Macedonia,0
1998,Israel,Croatia,10
1998,Israel,Greece,0
1998,Israel,France,0
1998,Israel,Spain,3
1998,Israel,Switzerland,0
1998,Israel,Slovakia,0
1998,Israel,Poland,0
1998,Israel,Germany,0
1998,Israel,Malta,7
1998,Israel,Hungary,0
1998,Israel,Slovenia,0
1998,Israel,Ireland,0
1998,Israel,Portugal,2
1998,Israel,Romania,6
1998,Israel,United Kingdom,12
1998,Israel,Cyprus,1
1998,Israel,Netherlands,8
1998,Israel,Sweden,0
1998,Israel,Belgium,5
1998,Israel,Finland,0
1998,Israel,Norway,4
1998,Israel,Estonia,0
1998,Israel,Turkey,0
1998,Israel,Macedonia,0
1998,Macedonia,Croatia,12
1998,Macedonia,Greece,0
1998,Macedonia,France,2
1998,Macedonia,Spain,0
1998,Macedonia,Switzerland,0
1998,Macedonia,Slovakia,0
1998,Macedonia,Poland,0
1998,Macedonia,Israel,8
1998,Macedonia,Germany,0
1998,Macedonia,Malta,0
1998,Macedonia,Hungary,0
1998,Macedonia,Slovenia,0
1998,Macedonia,Ireland,7
1998,Macedonia,Portugal,4
1998,Macedonia,Romania,0
1998,Macedonia,United Kingdom,10
1998,Macedonia,Cyprus,0
1998,Macedonia,Netherlands,3
1998,Macedonia,Sweden,0
1998,Macedonia,Belgium,6
1998,Macedonia,Finland,1
1998,Macedonia,Norway,0
1998,Macedonia,Estonia,0
1998,Macedonia,Turkey,5
1998,Malta,Croatia,10
1998,Malta,Greece,0
1998,Malta,France,0
